X,Y,Z,Wnt1,Wnt2,Wnt2B,Wnt3,Wnt3A,Wnt4,Wnt5A,Wnt6,Wnt7A,Wnt7B,Wnt10B,Wnt11,Wnt16,Fzd1,Fzd3,Fzd4,Fzd5,Fzd6,Fzd8,Fzd9,Fzd10
242.672,149.414,19.3888,77.88888888888889,,103.27272727272727,103.21428571428571,101.64285714285714,97.375,92.0,,,,86.97916666666667,,92.66666666666667,101.5,106.33333333333333,111.25,104.18181818181819,98.71929824561404,98.22857142857143,67.16666666666667,68.96666666666667
240.923,138.364,21.4416,,,106.38461538461539,102.5,99.0,94.0,,,,,85.60759493670886,,50.0,94.2,109.33333333333333,116.5,99.53846153846153,96.94444444444444,93.06666666666666,56.63636363636363,80.65517241379311
232.186,143.048,19.0039,51.0,,104.9090909090909,90.5,93.36842105263158,,,,,,89.53012048192771,,77.5,82.5,111.16666666666667,113.0,98.0,96.54166666666667,101.125,61.73913043478261,73.96296296296296
213.535,146.481,19.0472,13.0,,105.96,102.33333333333333,106.08333333333333,102.6,,,,,90.5,,91.94444444444444,62.0,66.5,99.0,94.21428571428571,87.13636363636364,97.8,63.0625,77.27272727272727
223.456,148.13,18.7557,90.3076923076923,,104.76470588235294,102.0,99.45454545454545,109.16666666666667,72.5,,,,88.12820512820512,,80.45454545454545,108.33333333333333,87.0,100.11111111111111,91.38095238095238,99.88888888888889,98.375,67.0576923076923,72.26086956521739
211.437,140.558,20.3568,,,105.21052631578948,,103.44444444444444,101.0,,,,,90.59210526315789,,85.33333333333333,78.5,83.0,79.0,94.0,56.4,89.71428571428571,62.0,67.91666666666667
213.629,155.924,18.8751,73.46153846153847,,103.0,91.36363636363636,102.6875,102.0,110.8,,,,90.625,,90.0,105.66666666666667,87.0,105.28571428571429,93.05882352941177,104.2439024390244,99.06666666666666,68.1025641025641,66.18181818181819
206.367,147.197,19.9153,,,104.5,86.5,96.54545454545455,105.4,,,,,86.54545454545455,,95.64285714285714,104.0,110.0,101.83333333333333,92.55555555555556,88.9375,108.9,55.375,42.5
237.277,156.702,18.4923,71.5,,92.85714285714286,102.63636363636364,107.75,97.11111111111111,89.6,,,,96.07142857142857,,89.7,100.75,111.57142857142857,104.38461538461539,100.6923076923077,99.74025974025975,100.31914893617021,67.32692307692308,67.87096774193549
204.962,154.786,19.9509,61.5,,101.33333333333333,102.4,99.64285714285714,93.83333333333333,,,,,89.71111111111111,,92.77777777777777,94.66666666666667,109.0,111.14285714285714,91.5,97.96969696969697,102.17647058823529,63.80952380952381,65.57142857142857
246.306,162.951,20.1176,91.61538461538461,,100.47368421052632,101.83333333333333,105.54545454545455,96.61538461538461,105.85714285714286,,,,97.73333333333333,63.0,93.44,111.33333333333333,98.44444444444444,105.36363636363636,101.75,98.06666666666666,95.54285714285714,69.67307692307692,67.9
226.221,166.058,18.8015,79.70588235294117,,105.77272727272727,106.0,111.11111111111111,93.84615384615384,97.78571428571429,,,,97.75,,96.5909090909091,116.33333333333333,112.16666666666667,111.66666666666667,86.66666666666667,99.46938775510205,98.26086956521739,71.71428571428571,77.85185185185185
237.58,166.284,18.7896,77.5,,97.6774193548387,105.25,104.15,99.0,101.33333333333333,,,,98.5909090909091,,92.05555555555556,110.33333333333333,111.5,98.625,113.0,95.23076923076923,99.57575757575758,68.20588235294117,71.53846153846153
215.664,166.49,18.9952,77.42857142857143,,96.46666666666667,96.66666666666667,107.625,103.625,96.23809523809524,,,,92.2,,89.86666666666666,112.66666666666667,111.4,100.66666666666667,83.2,95.60606060606061,96.68181818181819,66.53333333333333,69.9090909090909
207.915,166.804,20.7298,81.0,,93.93333333333334,109.0,105.75,97.375,92.53846153846153,,,,90.94736842105263,,90.2,96.75,93.75,99.375,107.0,90.5,94.75,55.857142857142854,60.90909090909091
216.56,171.693,19.7509,64.5,,97.71428571428571,110.0,111.83333333333333,102.375,94.5,,,,84.28571428571429,,83.0,110.0,105.66666666666667,107.2,89.66666666666667,87.44,103.14285714285714,64.0,77.76
236.033,172.714,20.0778,65.0,,102.47058823529412,108.66666666666667,101.625,109.84615384615384,97.55555555555556,,65.0,,101.0,,87.66666666666667,119.0,109.0,98.77777777777777,,90.8108108108108,98.85714285714286,73.61111111111111,80.35
220.466,137.763,19.9778,,,99.72727272727273,,98.11111111111111,,,,40.0,,84.5764705882353,,91.0,,,,96.0,83.5,94.9,66.0,72.38461538461539
226.841,131.431,22.329,,,93.77777777777777,,106.0,,,,47.5,,86.03883495145631,,,104.0,115.0,,94.6,47.5,105.75,,73.44444444444444
251.44,152.734,21.6331,88.7,,103.75,93.76470588235294,108.2,97.0,100.14285714285714,,,53.0,95.50769230769231,,85.76923076923077,102.57142857142857,99.8,111.5,98.5,97.9041095890411,96.38235294117646,67.65957446808511,82.2
198.874,159.831,22.6602,84.0,,97.3,,95.85714285714286,91.55555555555556,101.66666666666667,,66.0,,92.5111111111111,,87.875,92.66666666666667,107.25,106.04545454545455,107.0,93.30555555555556,90.0,59.714285714285715,78.47368421052632
247.46,171.518,21.5166,,,102.72222222222223,112.14285714285714,106.28571428571429,92.0,101.5,,75.0,,103.10714285714286,,83.0,79.5,113.22222222222223,107.5,,94.63157894736842,97.64285714285714,68.23529411764706,80.81481481481481
223.72,176.032,20.701,,,105.56521739130434,85.0,99.0,91.0,94.64285714285714,,67.5,,92.25,,75.0,100.33333333333333,,103.1875,104.0,86.21428571428571,92.53333333333333,67.28571428571429,70.0
243.182,179.019,23.9426,,,102.54838709677419,97.5,103.78947368421052,99.0909090909091,,,65.2,,93.78571428571429,,95.0,92.57142857142857,110.75,100.76470588235294,,89.97368421052632,104.125,71.44444444444444,86.25714285714285
242.664,129.16,25.8302,,,94.92857142857143,,112.16666666666667,,,,,,85.34831460674157,,,98.6,98.0,,93.3,85.42857142857143,90.0,58.0,75.45
250.077,143.956,22.502,71.8,,101.76923076923077,101.0,103.44444444444444,101.2,,,,53.5,89.41333333333333,,83.08333333333333,97.33333333333333,99.2,112.8,102.625,97.6875,98.05263157894737,64.43333333333334,83.04166666666667
198.419,149.588,22.3054,,,105.47368421052632,94.5,90.3,100.14285714285714,,,,,85.0,,98.70370370370371,99.33333333333333,93.5,112.66666666666667,69.0,89.07142857142857,98.375,63.666666666666664,59.8
213.621,176.513,22.2976,,,101.86486486486487,,111.75,108.83333333333333,97.07142857142857,,60.8,,92.54545454545455,,102.5,100.66666666666667,96.71428571428571,109.0952380952381,,77.0,112.4,59.0,80.24
230.191,181.488,23.5873,,,103.26,83.0,94.45454545454545,98.0909090909091,92.5,,65.0,,86.52380952380952,,92.0,94.33333333333333,94.0,92.76923076923077,,91.3170731707317,95.15789473684211,67.5,77.07142857142857
205.714,134.18,24.0578,,,104.23076923076923,,103.75,,,,52.0,,86.08,,,,,,98.0,,,,54.875
214.687,132.866,22.0069,,,99.83333333333333,,98.6,,,,51.0,,86.41463414634147,,,115.0,,,107.33333333333333,86.0,85.6,,53.4
202.326,142.538,21.8647,,,103.88235294117646,,94.45454545454545,113.5,,,,,84.47297297297297,,91.07142857142857,,110.0,115.0,108.5,82.375,103.4,65.0,51.714285714285715
255.034,167.669,23.4036,73.71428571428571,,103.37931034482759,107.625,93.33333333333333,108.18181818181819,98.75,,,,91.0377358490566,,90.9375,107.0,103.83333333333333,106.8695652173913,68.5,91.07843137254902,98.5909090909091,71.3103448275862,88.5
204.189,177.477,25.617,,,101.68,,108.08333333333333,101.38888888888889,96.5,,52.142857142857146,,92.3157894736842,,,84.66666666666667,81.85714285714286,104.0,,81.70370370370371,105.75,,83.5
216.45,125.043,26.4161,,,94.38461538461539,,101.0,,,,63.5,,80.0,,,,,,102.0,,,,
259.839,146.726,25.9805,97.4375,42.5,97.1304347826087,102.92857142857143,106.1,96.0,87.0,,,54.4,93.99056603773585,,86.41379310344827,108.5,95.75,112.3913043478261,93.3157894736842,89.60526315789474,99.85714285714286,70.66666666666667,66.21052631578948
260.696,158.983,25.573,73.57142857142857,,94.88888888888889,102.26666666666667,100.375,104.8695652173913,98.45454545454545,,94.66666666666667,55.5,92.24242424242425,,89.97142857142858,109.25,98.23076923076923,107.41935483870968,99.14285714285714,91.06122448979592,101.03333333333333,71.21739130434783,79.2
192.245,155.863,25.5002,83.83333333333333,,99.6875,104.0,103.0,94.42857142857143,93.83333333333333,,30.0,,89.54347826086956,,86.55555555555556,105.33333333333333,102.33333333333333,112.6,,91.62962962962963,89.83333333333333,54.0,74.95238095238095
196.998,169.829,25.792,76.14285714285714,,94.33333333333333,,96.55555555555556,104.77777777777777,95.28571428571429,,,,86.61538461538461,,90.6,101.0,87.75,104.2,,88.79310344827586,99.33333333333333,,80.85185185185185
254.264,175.147,25.221,,,100.89655172413794,102.25,105.44444444444444,102.0,86.8,,,,96.9090909090909,,89.875,71.0,108.33333333333333,105.1,,91.82926829268293,100.375,66.0,80.97368421052632
235.785,187.504,27.9705,,,104.72727272727273,101.0,95.76190476190476,95.6923076923077,,,79.35714285714286,,92.36363636363636,,72.5,103.5,86.375,107.86363636363636,,90.22641509433963,92.23076923076923,57.53846153846154,81.51351351351352
220.484,183.691,25.1825,,,104.74418604651163,,92.57142857142857,93.0,93.57142857142857,,77.84615384615384,,80.85714285714286,,,102.5,94.33333333333333,94.45454545454545,101.0,87.44444444444444,96.5,67.625,75.3076923076923
195.004,141.205,25.6915,,,101.92857142857143,,94.33333333333333,75.0,,,,,82.39682539682539,,99.8125,,83.0,,,61.0,,,60.44444444444444
189.05,149.661,27.6216,106.0,,101.15,78.0,98.0,97.4,89.0,,,,90.97872340425532,,87.13333333333334,120.0,83.4,106.0,,79.66666666666667,93.2,,58.0
225.479,122.856,26.9776,,,88.66666666666667,,101.25,87.0,,,75.66666666666667,,79.63492063492063,,,119.0,115.0,,107.66666666666667,33.0,,,101.75
233.836,122.133,28.2787,,,98.55555555555556,,108.5,,,,60.0,,87.3768115942029,,,106.33333333333333,108.25,,,17.0,,,75.57142857142857
256.043,135.319,27.5869,63.0,,108.16666666666667,107.0,101.33333333333333,94.75,,,,,86.03296703296704,,,89.85714285714286,99.16666666666667,100.5625,90.55555555555556,90.12,96.4,62.714285714285715,79.44
190.572,162.794,27.4401,82.0,,102.25,84.0,98.4,107.45454545454545,94.75,,,62.0,93.48717948717949,,91.23529411764706,106.4,102.75,106.11764705882354,,95.97297297297297,84.14285714285714,,81.78571428571429
252.079,182.411,28.1172,,,97.85714285714286,90.66666666666667,99.84210526315789,93.8,,,,,96.15151515151516,,62.0,97.0,112.33333333333333,110.26315789473684,,89.40425531914893,106.875,68.375,85.8780487804878
245.248,188.611,30.5864,,,105.2,120.0,95.94444444444444,100.84615384615384,,,62.4,,95.09375,,87.0,111.6,101.25,106.3913043478261,,92.32075471698113,96.8,61.84615384615385,85.22222222222223
211.179,185.182,27.8446,,,106.92592592592592,,103.11111111111111,96.4375,96.45454545454545,,64.0,,71.35714285714286,,79.0,91.0,97.42857142857143,109.0,,91.69444444444444,103.4,44.0,87.89285714285714
227.205,191.198,29.8383,,,102.11111111111111,,93.6,102.27777777777777,,,73.3103448275862,,89.77777777777777,,,106.5,98.0,102.5,,84.53571428571429,94.1,75.86363636363636,67.0
205.31,124.972,29.6797,,,101.18181818181819,,100.33333333333333,,,,73.0,,85.02941176470588,,,,113.0,,91.0,,,,54.22222222222222
197.816,132.341,28.0531,,,100.71428571428571,,100.75,,,,38.5,,81.61538461538461,,102.33333333333333,,83.0,,,51.5,,,78.66666666666667
265.829,170.857,29.7958,,,97.68571428571428,102.23076923076923,95.9090909090909,100.64285714285714,89.70588235294117,,,59.142857142857146,95.97777777777777,,88.625,95.75,94.18181818181819,108.91176470588235,94.6,90.81395348837209,100.61904761904762,73.5,83.9
202.326,188.349,32.7086,,,107.375,,105.35714285714286,103.25,103.22727272727273,,73.95,,73.6,,,97.0,94.6,114.2,,90.375,109.6,,80.6875
195.129,179.251,30.7229,65.66666666666667,,102.11764705882354,,98.0,96.76923076923077,104.16666666666667,,73.33333333333333,,89.91666666666667,,98.42857142857143,89.0,78.0,111.14285714285714,,90.19444444444444,101.0,,81.26315789473684
219.493,193.28,32.201,,,104.23809523809524,,92.77777777777777,94.9047619047619,84.0,,76.36363636363636,,77.21739130434783,29.0,83.66666666666667,100.66666666666667,110.5,103.27586206896552,,91.32075471698113,98.22222222222223,65.3076923076923,68.3225806451613
245.287,120.027,32.0532,,49.0,103.27272727272727,,87.0,,,,,,82.97014925373135,,,111.66666666666667,90.0,119.0,,69.6,103.0,,74.69565217391305
184.943,142.065,32.2299,,,98.42857142857143,106.2,94.71428571428571,87.0,,,62.0,,89.5,,97.76190476190476,107.0,99.0,69.0,,57.833333333333336,,,85.0
228.892,153.355,27.5241,82.77142857142857,,102.29508196721312,106.04,106.66666666666667,100.64285714285714,86.625,,62.6,61.8,98.23026315789474,,91.65,100.16666666666667,105.77777777777777,111.85714285714286,92.10344827586206,102.45833333333333,101.6,72.3170731707317,78.04545454545455
228.804,157.607,27.7816,86.51063829787235,,97.9090909090909,106.36842105263158,108.83333333333333,95.25,87.0,,80.0,62.333333333333336,100.88321167883211,,92.28846153846153,104.9090909090909,104.75,109.34042553191489,94.9090909090909,104.11340206185567,104.0,75.0546875,86.27586206896552
220.085,154.728,28.0604,88.36363636363636,,103.6923076923077,101.32142857142857,100.0909090909091,103.66666666666667,91.66666666666667,,72.57142857142857,58.0,99.47328244274809,,95.6078431372549,107.9090909090909,105.5,106.51063829787235,90.15151515151516,103.75,99.0,75.3125,82.77777777777777
239.803,155.142,28.5832,91.21951219512195,,95.67647058823529,100.42857142857143,110.75,98.8,93.11111111111111,,,54.0,98.10071942446044,,96.42222222222222,103.41666666666667,103.18181818181819,107.3529411764706,99.86206896551724,102.56842105263158,100.16129032258064,72.77319587628865,69.53846153846153
269.517,151.895,30.309,75.05882352941177,33.8,98.73684210526316,94.07142857142857,112.28571428571429,104.0,86.0,,86.46153846153847,61.13333333333333,99.42372881355932,,89.52173913043478,107.08333333333333,108.9,106.5,100.95833333333333,85.5,103.5,68.66666666666667,89.06666666666666
257.671,125.274,33.13,,,106.33333333333333,,92.125,,,,,,86.375,,,85.0,86.66666666666667,86.27272727272727,105.5,84.83333333333333,89.0,,80.15
231.964,146.872,31.3178,81.06060606060606,,103.33333333333333,104.55555555555556,102.42857142857143,98.2,86.44444444444444,,76.63333333333334,57.0,94.60992907801419,,94.6029411764706,93.0,111.16666666666667,114.07843137254902,97.3076923076923,101.5909090909091,98.5,77.6116504854369,81.6
221.805,149.177,30.043,84.1304347826087,,103.8688524590164,104.44,102.55,109.0,92.63636363636364,,79.17241379310344,57.8,95.85606060606061,,96.51612903225806,104.77777777777777,97.66666666666667,111.47727272727273,94.5625,97.26865671641791,96.55555555555556,77.5,82.0
